Reward,Diff baseline
13,-282.5151310384217
-12,-289.7916796676577
-16,-376.31173390733215
-6,-388.9386942504568
6,-22.059804532636917
-18,-254.45823371532663
21,245.1249868255427
-20,-355.0097269579495
10,182.4455235972398
31,134.38504460305217
33,166.72436362521353
12,198.6248390223668
6,-109.29805238396261
-17,-216.44506648683887
27,172.16782215575313
-18,-686.4454153218983
-9,-378.0872006447719
-7,-142.84885360038606
28,87.80008008245136
-1,-194.91694739178888
15,27.63973846249428
11,-88.8632966382977
14,312.23807794851325
25,348.5292219238854
7,-144.86190349378944
46,399.8922701030457
8,-498.9999913619047
12,233.6981665548842
42,434.63868880226755
45,342.53812146537496
30,105.75205839458363
-1,-139.94880779690288
42,483.1921134816138
19,303.1273337963444
12,-343.6013060722087
30,401.19162947677376
34,77.58016217811837
52,390.4630939800461
2,-601.565227789182
19,303.1273337963444
28,58.18760586798339
5,-132.83746570976655
-6,-581.3003738211564
28,14.056917989988506
13,-182.45659131971865
30,174.17317909724534
47,343.761702366985
8,218.09420718051626
7,-132.11536104717447
11,-75.29343541609455
28,84.03393577296242
14,213.77234080897733
28,99.4804208171945
36,385.9938451244424
28,154.7558808355568
30,84.05151905952471
30,385.9280724466282
26,-8.362213323142896
44,360.9537469910224
24,318.60124361134126
28,394.23807219460275
11,44.12471542776598
29,-31.164055382194874
7,-53.78913753601
14,243.5071451671314
1,-35.57028755695001
12,126.63382708094264
1,-130.24055520283332
47,365.2646112365667
7,-124.31207829975006
38,462.5720853173208
12,233.6981665548842
40,457.25287567315434
11,-75.29343541609455
0,-649.5523448731294
10,262.8125841320284
30,115.21052988731822
13,-166.71644110488228
11,-188.21573025357816
46,478.98960564602226
7,-25.902543351755185
34,375.1095349743914
20,193.66028388345103
34,378.11718482561616
10,-365.6051178502398
28,100.39915707531372
14,-272.2805225690379
15,-190.34575718861902
30,92.19752528208073
43,330.00787182417275
43,268.45609224142027
7,-7.522658933550474
28,385.1466799493011
-6,-440.67740365373015
43,320.11339821797037
25,251.95502121765503
12,277.67803783158786
39,225.7766470372842
52,445.60386657420077
28,21.713837945602563
18,247.05630819142402
7,32.194077478697636
26,3.044571548788781
30,22.663023052177323
9,-99.90286394047598
47,359.09117115882304
24,293.15692445920286
-1,-194.91694739178888
48,512.453282071476
31,44.124916617411145
47,323.2227514093604
44,360.9537469910224
30,48.94879677792551
16,198.66112088574835
9,-128.00600422770117
11,44.12471542776598
41,315.97099660437425
3,-35.45652417800147
10,-355.68218727570707
41,315.97099660437425
11,75.78457024416252
42,437.2826445327762
7,-124.31207829975006
10,-432.8408103400011
26,102.92710946376019
34,408.33124128814984
26,298.6999105120003
-4,-465.9906231536079
7,-144.86190349378944
5,-66.41258345848541
43,320.11339821797037
26,-36.436236858595976
31,42.7851889898634
16,280.88703044137674
42,474.5473177584885
40,485.46990646446784
5,-45.682233872177676
16,198.66112088574835
16,296.21281817511465
39,263.52084998429495
-3,-207.0435270541102
12,126.63382708094264
-3,-104.2083572232873
12,-357.77330255606284
10,-355.68218727570707
12,-357.77330255606284
7,-148.43240918279253
24,44.06531334920419
3,-158.35667411323493
44,352.3672646458806
36,385.9938451244424
46,397.7080940866442
4,-680.4886995628599
10,-478.5639549943601
24,293.15692445920286
25,290.2284425919945
28,0.5764973486841427
30,187.71047883740312
-1,-99.87939136911382
10,-349.4069379810401
40,475.31443620888865
38,465.23762294782193
36,392.9632944866414
36,410.88724765916027
-3,-200.90025075530798
30,105.75205839458363
26,45.278769792363164
